code,year,gdp_per_capita
ARG,2023,27230.396
ARG,2024,26771.965
ARM,1990,6137.6006
ARM,1991,5326.753
ARM,1992,3136.7244
ARM,1993,2958.8804
ARM,1994,3200.8965
ARM,1995,3480.7559
ARM,1996,3717.3357
ARM,1997,3879.1794
ARM,1998,4211.5127
ARM,1999,4406.9673
ARM,2000,4589.0083
ARM,2001,5044.1167
ARM,2002,5731.3535
ARM,2003,6569.2603
ARM,2004,7299.4
ARM,2005,8362.9
ARM,2006,9525.231
ARM,2007,10898.849
ARM,2008,11727.482
ARM,2009,10143.235
ARM,2010,10438.564
ARM,2011,10990.177
ARM,2012,11796.274
ARM,2013,12194.019
ARM,2014,12667.376
ARM,2015,13112.76
ARM,2016,13192.994
ARM,2017,14243.875
ARM,2018,15037.045
ARM,2019,16215.36
ARM,2020,15052.936
ARM,2021,15921.705
ARM,2022,17886.178
ARM,2023,19402.752
ARM,2024,20078.785
ABW,1990,33063
ABW,1991,33993.207
ABW,1992,34371.164
ABW,1993,34540.336
ABW,1994,35490.723
ABW,1995,35386.86
ABW,1996,34419.43
ABW,1997,35444.58
ABW,1998,35271.906
ABW,1999,35227.477
ABW,2000,37524.035
ABW,2001,38729.457
ABW,2002,38098.906
ABW,2003,38086.01
ABW,2004,40000.562
ABW,2005,38828.215
ABW,2006,38566.8
ABW,2007,39462.586
ABW,2008,39881.59
ABW,2009,34986.15
ABW,2010,33951.625
ABW,2011,34837.94
ABW,2012,33972.34
ABW,2013,35621.785
ABW,2014,35746.863
ABW,2015,36660.633
ABW,2016,36832.902
ABW,2017,38116.832
ABW,2018,39278.83
ABW,2019,39652.633
ABW,2020,30347.637
ABW,2021,35104.785
ABW,2022,38979.836
ABW,2023,41964.77
ABW,2024,44558.93
AUS,1990,36267.742
AUS,1991,35670.668
AUS,1992,35426.285
AUS,1993,36533.15
AUS,1994,37622.652
AUS,1995,38653.336
AUS,1996,39663.16
AUS,1997,40773.566
AUS,1998,42257.17
AUS,1999,43899.074
AUS,2000,45099.074
AUS,2001,45428.2
AUS,2002,46688.395
AUS,2003,47581.23
AUS,2004,49061.277
AUS,2005,49997.066
AUS,2006,50693.727
AUS,2007,51663.242
AUS,2008,52473.383
AUS,2009,52407.91
AUS,2010,52739.27
AUS,2011,53257.047
AUS,2012,54403.883
AUS,2013,54895.004
AUS,2014,55489.07
AUS,2015,55879.996
AUS,2016,56529.953
AUS,2017,56881.855
AUS,2018,57647.844
AUS,2019,58048.617
AUS,2020,57260.465
AUS,2021,58327.414
AUS,2022,60029.133
AUS,2023,60684.96
AUS,2024,60303.98
AUT,1990,43258.176
AUT,1991,44302.42
AUT,1992,44734.855
AUT,1993,44601.207
AUT,1994,45497.137
AUT,1995,46639.53
AUT,1996,47608.633
AUT,1997,48575.16
AUT,1998,50216.7
AUT,1999,52004.53
AUT,2000,53534.344
AUT,2001,54032.152
AUT,2002,54565.08
AUT,2003,54919.79
AUT,2004,55980.23
AUT,2005,56890.28
AUT,2006,58460.24
AUT,2007,60470.91
AUT,2008,61157.99
AUT,2009,58810.44
AUT,2010,59730.55
AUT,2011,61272.258
AUT,2012,61376.723
AUT,2013,60863.055
AUT,2014,60845.66
AUT,2015,60951.688
AUT,2016,61572.71
AUT,2017,62535.9
AUT,2018,63778.027
AUT,2019,64609.375
AUT,2020,60276.414
AUT,2021,62968.94
AUT,2022,65694.555
AUT,2023,64536.297
AUT,2024,63788.08
AZE,1990,10776.067
AZE,1991,10559.212
AZE,1992,8050.2163
AZE,1993,6097.4863
AZE,1994,4830.699
AZE,1995,4211.721
AZE,1996,4223.523
AZE,1997,4425.5884
AZE,1998,4822.16
AZE,1999,5133.748
AZE,2000,5656.9297
AZE,2001,6168.9854
AZE,2002,6701.0815
AZE,2003,7329.4062
AZE,2004,7937.8594
AZE,2005,10054.101
AZE,2006,13371.658
AZE,2007,16587.365
AZE,2008,17963.021
AZE,2009,19242.39
AZE,2010,19925.39
AZE,2011,19358.078
AZE,2012,19523.373
AZE,2013,20398.646
AZE,2014,20709.201
AZE,2015,20678.754
AZE,2016,19822.41
AZE,2017,19659.004
AZE,2018,19781.852
AZE,2019,20101.492
AZE,2020,19126.098
AZE,2021,20111.375
AZE,2022,21051.244
AZE,2023,21310.738
AZE,2024,22072.148
BHS,1990,33072.16
BHS,1991,31148.904
BHS,1992,29412.88
BHS,1993,28955.352
BHS,1994,29346.361
BHS,1995,30128.193
BHS,1996,30907.82
BHS,1997,30839.025
BHS,1998,31836.527
BHS,1999,33657.805
BHS,2000,34597.164
BHS,2001,35072.367
BHS,2002,35610.68
BHS,2003,34740.76
BHS,2004,34617.805
BHS,2005,35365.465
BHS,2006,35789.133
BHS,2007,35797.117
BHS,2008,34498.035
BHS,2009,32630.264
BHS,2010,32711.459
BHS,2011,32535.662
BHS,2012,33667.555
BHS,2013,32402.916
BHS,2014,32712.635
BHS,2015,32777.586
BHS,2016,32172.336
BHS,2017,33050.035
BHS,2018,33650.215
BHS,2019,33202.49
BHS,2020,26452.695
BHS,2021,31064.682
BHS,2022,34342.93
BHS,2023,35221.27
BHS,2024,36244.05
BHR,1990,41856.543
BHR,1991,47644.023
BHR,1992,49511.95
BHR,1993,54433.137
BHR,1994,52886.58
BHR,1995,53537.684
BHR,1996,54289.438
BHR,1997,54512.855
BHR,1998,55638.695
BHR,1999,56522.227
BHR,2000,57968.996
BHR,2001,57280.7
BHR,2002,55096.656
BHR,2003,54431.875
BHR,2004,54045.094
BHR,2005,53478.266
BHR,2006,52691.934
BHR,2007,52731.793
BHR,2008,52765.39
BHR,2009,50665.75
BHR,2010,50704.848
BHR,2011,53132.33
BHR,2012,54516.84
BHR,2013,55376.402
BHR,2014,55065.82
BHR,2015,54149.914
BHR,2016,54107.074
BHR,2017,53859.773
BHR,2018,54893.074
BHR,2019,56749.96
BHR,2020,53814.246
BHR,2021,54954.676
BHR,2022,57572.996
BHR,2023,57819.906
BHR,2024,58891.832
BGD,1990,2069.7822
BGD,1991,2101.3835
BGD,1992,2174.3823
BGD,1993,2234.81
BGD,1994,2279.0942
BGD,1995,2351.7039
BGD,1996,2413.543
BGD,1997,2475.5957
BGD,1998,2555.0613
BGD,1999,2624.0654
BGD,2000,2712.935
BGD,2001,2803.5547
BGD,2002,2866.4346
BGD,2003,2958.915
BGD,2004,3071.838
BGD,2005,3231.6138
BGD,2006,3407.4272
BGD,2007,3608.9155
BGD,2008,3787.9382
BGD,2009,3942.1362
BGD,2010,4125.464
BGD,2011,4352.4263
BGD,2012,4592.0483
BGD,2013,4822.726
BGD,2014,5068.6396
BGD,2015,5352.7114
BGD,2016,5682.5356
BGD,2017,6005.707
BGD,2018,6392.5933
BGD,2019,6838.326
BGD,2020,7015.1978
BGD,2021,7441.0693
BGD,2022,7888.164
BGD,2023,8242.398
BGD,2024,8486.785
BRB,1990,19613.248
BRB,1991,18790.87
BRB,1992,17660.324
BRB,1993,17748.555
BRB,1994,18064.4
BRB,1995,18398.75
BRB,1996,19112.504
BRB,1997,20010.217
BRB,1998,20752.81
BRB,1999,20815.836
BRB,2000,21779.22
BRB,2001,21234.709
BRB,2002,21262.309
BRB,2003,21591.791
BRB,2004,21771.902
BRB,2005,22514.484
BRB,2006,23766.607
BRB,2007,24145.754
BRB,2008,24171.652
BRB,2009,22840.885
BRB,2010,22243.457
BRB,2011,22102.482
BRB,2012,21286.332
BRB,2013,20854.568
BRB,2014,20959.965
BRB,2015,20666.965
BRB,2016,20930.633
BRB,2017,21035.793
BRB,2018,20727.422
BRB,2019,20737.979
BRB,2020,17728.072
BRB,2021,17682.732
BRB,2022,20716.285
BRB,2023,21318.672
BRB,2024,21837.725
BLR,1990,12351.636
BLR,1991,12197.788
BLR,1992,11002.602
BLR,1993,10143.984
BLR,1994,8967.73
BLR,1995,8061.196
BLR,1996,8314.856
BLR,1997,9301.327
BLR,1998,10128.156
BLR,1999,10519.749
BLR,2000,11182.455
BLR,2001,11771.087
BLR,2002,12443.933
BLR,2003,13413.927
BLR,2004,15052.118
BLR,2005,16579.873
BLR,2006,18349.871
BLR,2007,20019.611
BLR,2008,22137.947
BLR,2009,22236.838
BLR,2010,24012.613
BLR,2011,25404.756
