code,year,child_mortality
ALB,1842,375.2
ALB,1843,375.2
ALB,1844,375.2
ALB,1845,375.2
ALB,1846,375.2
ALB,1847,375.2
ALB,1848,375.2
ALB,1849,375.2
ALB,1850,375.2
ALB,1851,375.2
ALB,1852,375.2
ALB,1853,375.2
ALB,1854,375.2
ALB,1855,375.2
ALB,1856,375.2
ALB,1857,375.2
ALB,1858,375.2
ALB,1859,375.2
ALB,1860,375.2
ALB,1861,375.2
ALB,1862,375.2
ALB,1863,375.2
ALB,1864,375.2
ALB,1865,375.2
ALB,1866,375.2
ALB,1867,375.2
ALB,1868,375.2
ALB,1869,375.2
ALB,1870,375.2
ALB,1871,375.2
ALB,1872,375.2
ALB,1873,375.2
ALB,1874,375.2
ALB,1875,375.2
ALB,1876,375.2
ALB,1877,375.2
ALB,1878,375.2
ALB,1879,375.2
ALB,1880,375.2
ALB,1881,375.2
ALB,1882,375.2
ALB,1883,375.2
ALB,1884,375.2
ALB,1885,375.2
ALB,1886,375.2
ALB,1887,375.2
ALB,1888,375.2
ALB,1889,375.2
ALB,1890,375.2
ALB,1891,375.2
ALB,1892,375.2
ALB,1893,375.2
ALB,1894,375.2
ALB,1895,375.2
ALB,1896,375.1
ALB,1897,375
ALB,1898,374.9
ALB,1899,374.6
ALB,1900,374.4
ALB,1901,374.1
ALB,1902,373.7
ALB,1903,373.2
ALB,1904,372.8
ALB,1905,372.2
ALB,1906,371.6
ALB,1907,370.9
ALB,1908,370.2
ALB,1909,369.4
ALB,1910,368.6
ALB,1911,367.7
ALB,1912,366.8
ALB,1913,366
ALB,1914,365.1
ALB,1915,364.2
ALB,1916,363.3
ALB,1917,362.4
ALB,1918,361.6
ALB,1919,360.7
ALB,1920,359.8
ALB,1921,358.9
ALB,1922,358
ALB,1923,357.1
ALB,1924,356.3
ALB,1925,355.4
ALB,1926,354.5
ALB,1927,353.6
ALB,1928,352.8
ALB,1929,351.9
ALB,1930,341
ALB,1931,330.3
ALB,1932,319.9
ALB,1933,309.6
ALB,1934,299.6
ALB,1935,289.8
ALB,1936,280.1
ALB,1937,270.7
ALB,1938,261.5
ALB,1939,253.4
ALB,1940,244.6
ALB,1941,236
ALB,1942,227.5
ALB,1943,219.2
ALB,1944,211
ALB,1945,203
ALB,1946,195.2
ALB,1947,187.4
ALB,1948,179.9
ALB,1949,172.4
ALB,1950,165.2
ALB,1951,161.7
ALB,1952,158.3
ALB,1953,155
ALB,1954,151.7
ALB,1955,148.5
ALB,1956,145.4
ALB,1957,142.3
ALB,1958,139.3
ALB,1959,136.4
ALB,1960,133.6
ALB,1961,130.7
ALB,1962,128
ALB,1963,125.3
ALB,1964,122.7
ALB,1965,120.1
ALB,1966,117.6
ALB,1967,115.1
ALB,1968,112.7
ALB,1969,110.3
ALB,1970,108
ALB,1971,105.7
ALB,1972,103.5
ALB,1973,101.3
ALB,1974,99.18
ALB,1975,97.1
ALB,1976,95.06
ALB,1977,93.06
ALB,1978,91.1
ALB,1979,84.7
ALB,1980,78.6
ALB,1981,73
ALB,1982,67.8
ALB,1983,62.8
ALB,1984,58.3
ALB,1985,54.3
ALB,1986,50.7
ALB,1987,47.6
ALB,1988,44.9
ALB,1989,42.5
ALB,1990,40.6
ALB,1991,38.8
ALB,1992,37.3
ALB,1993,36
ALB,1994,34.6
ALB,1995,33.2
ALB,1996,31.8
ALB,1997,30.3
ALB,1998,28.9
ALB,1999,27.5
ALB,2000,26.2
ALB,2001,24.9
ALB,2002,23.6
ALB,2003,22.5
ALB,2004,21.5
ALB,2005,20.5
ALB,2006,19.5
ALB,2007,18.7
ALB,2008,17.9
ALB,2009,17.3
ALB,2010,16.6
ALB,2011,16
ALB,2012,15.5
ALB,2013,14.9
ALB,2014,14.4
ALB,2015,14
DZA,1800,460.2
DZA,1801,460.2
DZA,1802,460.2
DZA,1803,460.2
DZA,1804,460.2
DZA,1805,460.2
DZA,1806,460.2
DZA,1807,460.2
DZA,1808,460.2
DZA,1809,460.2
DZA,1810,460.2
DZA,1811,460.2
DZA,1812,460.2
DZA,1813,460.2
DZA,1814,460.2
DZA,1815,460.2
DZA,1816,460.2
DZA,1817,460.2
DZA,1818,460.2
DZA,1819,460.2
DZA,1820,460.2
DZA,1821,460.2
DZA,1822,460.2
DZA,1823,460.2
DZA,1824,460.2
DZA,1825,460.2
DZA,1826,460.2
DZA,1827,460.2
DZA,1828,460.2
DZA,1829,460.2
DZA,1830,460.2
DZA,1831,460.2
DZA,1832,460.2
DZA,1833,460.2
DZA,1834,460.2
DZA,1835,460.2
DZA,1836,460.2
DZA,1837,460.2
DZA,1838,460.2
DZA,1839,460.2
DZA,1840,460.2
DZA,1841,460.2
DZA,1842,460.2
DZA,1843,460.2
DZA,1844,460.2
DZA,1845,460.2
DZA,1846,460.2
DZA,1847,460.2
DZA,1848,460.2
DZA,1849,460.2
DZA,1850,460.2
DZA,1851,460.2
DZA,1852,460.2
DZA,1853,460.2
DZA,1854,460.2
DZA,1855,460.2
DZA,1856,460.2
DZA,1857,460.2
DZA,1858,460.2
DZA,1859,460.2
DZA,1860,460.2
DZA,1861,460.2
DZA,1862,460.2
DZA,1863,460.2
DZA,1864,460.2
DZA,1865,460.2
DZA,1866,460.2
DZA,1867,460.2
DZA,1868,460.2
DZA,1869,460.2
DZA,1870,460.2
DZA,1871,460.2
DZA,1872,460.2
DZA,1873,460.2
DZA,1874,460.2
DZA,1875,460.2
DZA,1876,460.2
DZA,1877,460.2
DZA,1878,460.2
DZA,1879,460.2
DZA,1880,460.2
DZA,1881,460.2
DZA,1882,460.2
DZA,1883,460.2
DZA,1884,460.2
DZA,1885,460.2
DZA,1886,460.2
DZA,1887,460.2
DZA,1888,460.2
DZA,1889,460.2
DZA,1890,460.2
DZA,1891,460.2
DZA,1892,460.2
DZA,1893,460.2
DZA,1894,460.2
DZA,1895,460.2
DZA,1896,460.1
DZA,1897,460
DZA,1898,459.8
DZA,1899,459.5
DZA,1900,459.2
DZA,1901,458.8
DZA,1902,458.4
DZA,1903,457.8
DZA,1904,457.2
DZA,1905,456.5
DZA,1906,455.8
DZA,1907,454.9
DZA,1908,454
DZA,1909,453.1
DZA,1910,452.1
DZA,1911,451
DZA,1912,449.9
DZA,1913,448.9
DZA,1914,447.8
DZA,1915,446.9
DZA,1916,446
DZA,1917,445.1
DZA,1918,444.2
DZA,1919,443.4
DZA,1920,442.4
DZA,1921,441.6
DZA,1922,440.7
DZA,1923,439.8
DZA,1924,434.9
DZA,1925,431.4
DZA,1926,428
DZA,1927,423.2
DZA,1928,419.8
DZA,1929,415.1
DZA,1930,411.8
DZA,1931,408.4
DZA,1932,403.8
DZA,1933,400.5
DZA,1934,396
DZA,1935,391.5
DZA,1936,385.9
DZA,1937,381.5
DZA,1938,377.2
DZA,1939,372.9
DZA,1940,368.6
DZA,1941,364.4
DZA,1942,363.6
DZA,1943,362.8
DZA,1944,362
DZA,1945,349.3
DZA,1946,337
DZA,1947,325.2
DZA,1948,313.8
DZA,1949,302.8
DZA,1950,292.1
DZA,1951,281.9
DZA,1952,272
DZA,1953,262.4
DZA,1954,253.2
DZA,1955,251.6
DZA,1956,250.1
DZA,1957,249
DZA,1958,247.7
DZA,1959,246.4
DZA,1960,245.7
DZA,1961,245.9
DZA,1962,246.3
DZA,1963,246.7
DZA,1964,247.3
DZA,1965,248.2
DZA,1966,248.9
DZA,1967,248.9
DZA,1968,248
DZA,1969,245.8
DZA,1970,242.2
DZA,1971,237.3
DZA,1972,230.9
DZA,1973,223.4
DZA,1974,214.9
DZA,1975,205.5
DZA,1976,195.7
DZA,1977,185.1
DZA,1978,173.9
DZA,1979,161.7
DZA,1980,148
DZA,1981,132.6
DZA,1982,115.9
DZA,1983,98.9
DZA,1984,83.6
DZA,1985,71.2
DZA,1986,61.9
DZA,1987,55.3
DZA,1988,51.2
DZA,1989,48.6
DZA,1990,46.9
DZA,1991,45.8
DZA,1992,45
DZA,1993,44.2
DZA,1994,43.5
DZA,1995,42.6
DZA,1996,41.8
DZA,1997,41.2
DZA,1998,40.7
DZA,1999,40.2
DZA,2000,39.7
DZA,2001,38.9
DZA,2002,37.8
DZA,2003,36.5
DZA,2004,35.1
DZA,2005,33.6
DZA,2006,32.1
DZA,2007,30.7
DZA,2008,29.5
DZA,2009,28.4
DZA,2010,27.4
DZA,2011,26.6
DZA,2012,25.8
DZA,2013,25.2
DZA,2014,24.6
DZA,2015,24
AND,1990,8.5
AND,1991,7.9
AND,1992,7.4
AND,1993,6.9
AND,1994,6.4
AND,1995,6
AND,1996,5.7
AND,1997,5.3
AND,1998,5
AND,1999,4.8
AND,2000,4.6
AND,2001,4.4
AND,2002,4.2
AND,2003,4.1
AND,2004,4
AND,2005,3.9
AND,2006,3.7
AND,2007,3.6
AND,2008,3.5
AND,2009,3.4
AND,2010,3.3
AND,2011,3.2
AND,2012,3.1
